Date,User,Tweet,Polarity,Sentiment
2022-05-21 15:53:38+00:00,surotobravo,Pak MarufAmin ini solusi fundamental soal industri sawit dan perminyakgorengan sawit migor MinyakGoreng cpo petani hargasawit migorlangka,0.0,Neutral
2022-05-21 15:46:50+00:00,Pelacur_Istana,Kelimpungan Presiden Jokowi Minyak Goreng Ini Bukan Persoalan Mudah SOLUSINYA Mudah Dan Gampang Pak Untuk Mengatasi Persoalan Negara BAPAK TINGGAL BACAKAN SURAT PENGUNDURAN DIRI BAPAK DIJAMIN HARGA MINYAK STABIL DAN HARGA DIRI BANGSA NAIK,0.0,Neutral
2022-05-21 15:45:10+00:00,faslash160386,harga murah untuk minyak goreng curah pak hanya saja kualitas nya rendah beda jauh sama minyak goreng curah sebelumnya malah ada di daerah kami gorontalo ada yang cepat menggumpal minyak goreng nya pak siapa sih yg diuntungkan ya pak seharusnya negara hadir untuk masalah ini,0.0,Neutral
2022-05-21 15:34:19+00:00,AbdeeProklamasi,Siap Siap Luhut dan Kaesang Berpeluang Diperiksa Kejagung dalam Kasus Mafia Minyak Goreng,0.0,Neutral
2022-05-21 15:31:41+00:00,Umar83638540,bagaimana DNG minyak goreng d Malaysia Knp harus jauh2 ke USA sana,0.0,Neutral
2022-05-21 15:29:24+00:00,wididaba,Lah kan biasanya migor kemasan yg harganya belasan ribu per liter Gak pernah beli minyak goreng ya pak,0.0,Neutral
2022-05-21 15:20:47+00:00,Mi73Hel,dumdum RI Nanti kayak minyak goreng Dapat subsidi ditetapkan HET 11rb dan 14rb tp barang tdk ada Begitu barang melimpah het naik jd 14rb amp 20rb,0.0,Neutral
2022-05-21 15:16:02+00:00,BTrg58,Oalah pak baru dijaman bapak minyak goreng begini biasanya sih ribut soal kenaikan bbm pak,0.0,Neutral
2022-05-21 14:43:20+00:00,satriana_sandi,Turun aja pak kalo ngga sanggup ngurus minyak goreng doang sih,0.0,Neutral
2022-05-21 14:27:35+00:00,panjul_02,Ini kalau yg ngomong bisa gawat Bisa bisa malah naik lagi Minyak goreng,0.0,Neutral
2022-05-21 14:02:19+00:00,Kejari_Acehjaya,repost ri Presiden menyampaikan pada saat rapat kerja nasional Kejaksaan RI tahun 2020 Kejaksaan Merupakan Wajah Penegakan Hukum Indonesia Pada saat ini kasus minyak goreng merugikan masyarakat banyak kembali Presiden RI menyampaikan,0.0,Neutral
2022-05-21 13:57:01+00:00,bito_cell12,Semoga kedepannya bisa berkunjung didesa kami juga karena disini masih mahal Minyak goreng terimah kasih,0.0,Neutral
2022-05-21 13:48:08+00:00,Dian960118,Kk tinggal dimana Dri tangan ketangan mungkin naik harganya kk Di daerah rumah saya rata2 minyak goreng curah 14k L 15k kg Minyak goreng curah ya kk bukan minyak goreng kemasan Kalau kemasan ya 22k l,0.0,Neutral
